Description,Quantity,Revenue
"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6
REGENCY CAKESTAND 3 TIER,12374,142264.75
WHITE HANGING HEART T-LIGHT HOLDER,36706,100392.1
JUMBO BAG RED RETROSPOT,46078,85040.54000000001
MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001
POSTAGE,3120,77803.96
PARTY BUNTING,15279,68785.23000000001
ASSORTED COLOUR BIRD ORNAMENT,35263,56413.03
MANUAL,6933,53419.93
RABBIT NIGHT LIGHT,27153,51251.24
CHILLI LIGHTS,9646,46265.11
PAPER CHAIN KIT 50'S CHRISTMAS,15591,42584.130000000005
PICNIC BASKET WICKER 60 PIECES,61,39619.5
BLACK RECORD COVER FRAME,11401,39045.8
JUMBO BAG PINK POLKADOT,20148,37254.36
DOORMAT KEEP CALM AND COME IN,5338,35880.85
SPOTTY BUNTING,7633,35509.55
WOOD BLACK BOARD ANT WHITE FINISH,5913,34414.71
SET OF 3 CAKE TINS PANTRY DESIGN,7010,33298.3
JAM MAKING SET WITH JARS,8140,32616.22
